Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2023-04-05 23:19:36,2023-04-06 19:32:09,UTC-05:00,2023-04-06 14:03:39,2023-04-06 14:59:57,56,Running,15.5,797.0,183,163,1,1,13,82,3,false,,,
2023-04-02 23:17:31,2023-04-03 21:31:56,UTC-05:00,2023-04-03 13:23:25,2023-04-03 14:29:46,66,Running,17.9,944.0,198,164,12,13,7,14,54,false,,,
2023-03-30 23:11:46,2023-03-31 21:52:51,UTC-05:00,2023-03-31 18:51:32,2023-03-31 19:15:13,23,Running,11.7,328.0,181,163,4,3,6,80,7,false,,,
2023-03-28 21:55:58,2023-03-29 17:49:43,UTC-05:00,2023-03-29 14:01:20,2023-03-29 14:38:40,37,Running,12.9,490.0,189,158,0,6,14,74,6,false,,,
2023-03-26 21:52:33,2023-03-27 17:41:16,UTC-05:00,2023-03-27 14:26:41,2023-03-27 15:38:06,71,Running,14.2,816.0,177,150,2,5,56,34,0,false,,,
2023-03-25 20:08:34,2023-03-26 21:52:33,UTC-05:00,2023-03-26 09:45:50,2023-03-26 12:00:31,134,Running,20.1,1941.0,184,164,0,7,20,59,14,false,,,
2023-03-23 22:00:34,2023-03-24 21:23:28,UTC-05:00,2023-03-24 17:57:24,2023-03-24 18:22:09,24,Running,9.8,302.0,170,154,1,2,61,36,0,false,,,
2023-03-23 22:00:34,2023-03-24 21:23:28,UTC-05:00,2023-03-24 11:20:38,2023-03-24 12:41:13,80,Running,13.2,783.0,164,139,2,7,80,5,0,false,,,
2023-03-21 21:46:55,2023-03-22 22:05:49,UTC-05:00,2023-03-22 10:22:16,2023-03-22 11:32:21,70,Running,15.8,941.0,180,160,0,4,18,78,0,false,,,
2023-03-20 21:19:00,2023-03-21 21:46:55,UTC-05:00,2023-03-21 13:42:01,2023-03-21 14:37:24,55,Running,16.7,846.0,196,169,0,4,10,57,29,false,,,
2023-03-20 21:19:00,2023-03-21 21:46:55,UTC-05:00,2023-03-21 09:52:39,2023-03-21 10:30:33,37,Running,11.4,398.0,175,145,9,20,16,53,0,false,,,
2023-03-19 23:17:21,2023-03-20 21:19:00,UTC-05:00,2023-03-20 12:56:01,2023-03-20 13:50:10,54,Running,13.2,642.0,176,152,3,1,69,27,0,false,,,
2023-03-18 21:50:29,2023-03-19 23:17:21,UTC-05:00,2023-03-19 14:08:29,2023-03-19 15:20:33,72,Running,14.4,862.0,175,153,0,2,71,27,0,false,,,
2023-03-16 16:14:46,2023-03-17 16:11:41,UTC-05:00,2023-03-17 12:32:08,2023-03-17 13:30:24,58,Running,16.5,864.0,190,166,0,2,17,52,29,false,,,
2023-03-14 20:32:24,2023-03-15 21:56:35,UTC-05:00,2023-03-15 15:00:50,2023-03-15 17:52:22,171,Running,14.8,887.0,181,106,9,3,8,20,0,true,8336.74,243.52,0.10
2023-03-13 22:33:28,2023-03-14 20:32:24,UTC-05:00,2023-03-14 14:11:17,2023-03-14 15:13:09,61,Running,14.2,769.0,171,155,1,2,47,50,0,true,9768.85,414.73,-6.48
2023-03-11 22:17:27,2023-03-12 23:09:57,UTC-05:00,2023-03-12 10:55:40,2023-03-12 13:14:53,139,Running,18.7,1827.0,182,158,0,1,33,66,0,false,,,
2023-03-10 20:43:32,2023-03-11 21:17:27,UTC-06:00,2023-03-11 15:40:22,2023-03-11 16:00:23,20,Running,12.3,307.0,187,168,0,2,5,41,49,true,3894.68,75.03,7.78
2023-03-09 23:12:41,2023-03-10 20:43:32,UTC-06:00,2023-03-10 13:59:41,2023-03-10 14:56:46,57,Running,15.6,794.0,180,162,0,1,6,88,0,true,9706.66,264.63,7.96
