timestamp,heart_rate,cadence,distance,latitude,longitude,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km
2025-04-25 20:18:51+00:00,130,79,172.26,34.60704021155834,-98.42369106598198,34.60704213939607,-98.42371545732021,2.2425875525479064,0.09121443409711474,1.0,2.2425875525479064,7.431906050251727
2025-04-25 20:18:52+00:00,130,79,175.64,34.60704146884382,-98.423654101789,34.60704021155834,-98.42369106598198,3.385885728917307,0.09460031982603205,1.0,3.385885728917307,4.922404751482695
2025-04-25 20:18:53+00:00,130,79,178.44,34.60704113356769,-98.42362350784242,34.60704146884382,-98.423654101789,2.800235364980825,0.09740055519101287,1.0,2.800235364980825,5.951892547473104
2025-04-25 20:18:54+00:00,131,79,181.05,34.607042307034135,-98.42359509319067,34.60704113356769,-98.42362350784242,2.6038075238098375,0.1000043627148227,1.0,2.6038075238098375,6.4008955529914235
2025-04-25 20:18:55+00:00,132,80,183.37,34.60704012773931,-98.42356986366212,34.607042307034135,-98.42359509319067,2.321711499049087,0.1023260742138718,1.0,2.321711499049087,7.178626632476192
2025-04-25 20:18:56+00:00,132,80,186.11,34.607036439701915,-98.4235401917249,34.60704012773931,-98.42356986366212,2.7463941441024557,0.10507246835797425,1.0,2.7463941441024557,6.068575421262709
2025-04-25 20:18:57+00:00,131,80,188.81,34.607034428045154,-98.42351077124476,34.607036439701915,-98.4235401917249,2.7018659726867287,0.10777433433066098,1.0,2.7018659726867287,6.1685887340394885
2025-04-25 20:18:58+00:00,131,79,191.19,34.607036020606756,-98.423484954983,34.607034428045154,-98.42351077124476,2.369355992203973,0.11014369032286496,1.0,2.369355992203973,7.034274315400215
2025-04-25 20:18:59+00:00,132,79,193.7,34.607038367539644,-98.4234572108835,34.607036020606756,-98.423484954983,2.5525420506988583,0.11269623237356381,1.0,2.5525420506988583,6.529451687362736
2025-04-25 20:19:00+00:00,132,79,196.46,34.607039876282215,-98.42342720367014,34.607038367539644,-98.4234572108835,2.751408287700474,0.11544764066126428,1.0,2.751408287700474,6.057516099847694
2025-04-25 20:19:01+00:00,131,80,199.0,34.6070440672338,-98.42339979484677,34.607039876282215,-98.42342720367014,2.5514012770140027,0.1179990419382783,1.0,2.5514012770140027,6.532371113142046
2025-04-25 20:19:02+00:00,133,80,201.72,34.60704532451928,-98.42337020672858,34.6070440672338,-98.42339979484677,2.711539165550836,0.12071058110382912,1.0,2.711539165550836,6.146582801290366
2025-04-25 20:19:03+00:00,130,79,204.51,34.607044737786055,-98.423339612782,34.60704532451928,-98.42337020672858,2.8007470449804304,0.12351132814880955,1.0,2.8007470449804304,5.95080517173819
2025-04-25 20:19:04+00:00,128,78,207.32,34.60703568533063,-98.42330742627382,34.607044737786055,-98.423339612782,3.1129735696332586,0.1266243017184428,1.0,3.1129735696332586,5.353948444208447
2025-04-25 20:19:05+00:00,128,78,209.93,34.607030572369695,-98.42327792197466,34.60703568533063,-98.42330742627382,2.759465074802956,0.12938376679324576,1.0,2.759465074802956,6.039830020747812
