time,latitude,longitude,elevation,heart_rate,cadence,lat_prev,lon_prev,distance_segment_m,distance_cumulative_km,time_delta_s,speed_mps,pace_min_per_km,pace_sec_km,pace_min_per_mile,dist,dt,planning_id
2025-04-25 20:18:56+00:00,34.607036,-98.42354,341.2,132,80,34.60704,-98.42357,2.7814217011419484,0.10514904650911919,1.0,2.7814217011419484,5.992151421396213,359.52908528377276,9.643408968509782,2.7814217011419484,1.0,2025w17-Fri
2025-04-25 20:18:57+00:00,34.607034,-98.423511,341.2,131,80,34.607036,-98.42354,2.6634087131349204,0.1078124552222541,1.0,2.6634087131349204,6.257657684232301,375.45946105393807,10.07069881754241,2.6634087131349204,1.0,2025w17-Fri
2025-04-25 20:18:58+00:00,34.607036,-98.423485,341.2,131,79,34.607034,-98.423511,2.389914588927154,0.11020236981118126,1.0,2.389914588927154,6.973763864708561,418.42583188251365,11.223157138030075,2.389914588927154,1.0,2025w17-Fri
2025-04-25 20:18:59+00:00,34.607038,-98.423457,341.2,132,79,34.607036,-98.423485,2.5722186417361135,0.11277458845291737,1.0,2.5722186417361135,6.479503619782044,388.77021718692265,10.427724355460034,2.5722186417361135,1.0,2025w17-Fri
2025-04-25 20:19:00+00:00,34.60704,-98.423427,341.2,132,79,34.607038,-98.423457,2.754620543973245,0.11552920899689062,1.0,2.754620543973245,6.0504522252491695,363.02713351495015,9.737234784182498,2.754620543973245,1.0,2025w17-Fri
2025-04-25 20:19:01+00:00,34.607044,-98.4234,341.2,131,80,34.60704,-98.423427,2.510775863101608,0.11803998485999223,1.0,2.510775863101608,6.638067636754845,398.2840582052907,10.682907770535042,2.510775863101608,1.0,2025w17-Fri
2025-04-25 20:19:02+00:00,34.607045,-98.42337,341.2,133,80,34.607044,-98.4234,2.747879238898743,0.12078786409889097,1.0,2.747879238898743,6.065295652031436,363.91773912188614,9.76112290464027,2.747879238898743,1.0,2025w17-Fri
2025-04-25 20:19:03+00:00,34.607045,-98.42334,341.2,130,79,34.607045,-98.42337,2.745628502724528,0.1235334926016155,1.0,2.745628502724528,6.0702676940676366,364.2160616440582,9.76912461077081,2.745628502724528,1.0,2025w17-Fri
2025-04-25 20:19:04+00:00,34.607036,-98.423307,341.2,128,78,34.607045,-98.42334,3.1816770438637185,0.12671516964547921,1.0,3.1816770438637185,5.238338074615057,314.3002844769034,8.430266997000995,3.1816770438637185,1.0,2025w17-Fri
2025-04-25 20:19:05+00:00,34.607031,-98.423278,341.2,128,78,34.607036,-98.423307,2.7117148628006955,0.12942688450827994,1.0,2.7117148628006955,6.146184552304444,368.7710731382666,9.891300647405634,2.7117148628006955,1.0,2025w17-Fri
2025-04-25 20:19:06+00:00,34.607032,-98.42325,341.3,129,79,34.607031,-98.423278,2.564998357331351,0.13199188286561128,1.0,2.564998357331351,6.497742952685629,389.86457716113773,10.45707764347509,2.564998357331351,1.0,2025w17-Fri
2025-04-25 20:19:07+00:00,34.607032,-98.423222,341.3,129,79,34.607032,-98.42325,2.5625870030531264,0.1345544698686644,1.0,2.5625870030531264,6.503857227146981,390.2314336288189,10.466917589936722,2.5625870030531264,1.0,2025w17-Fri
2025-04-25 20:19:08+00:00,34.607034,-98.423193,341.3,130,80,34.607032,-98.423222,2.663408778000833,0.13721787864666524,1.0,2.663408778000833,6.257657531830357,375.4594519098214,10.070698572275866,2.663408778000833,1.0,2025w17-Fri
2025-04-25 20:19:09+00:00,34.607036,-98.423163,341.3,128,80,34.607034,-98.423193,2.7546206770257906,0.13997249932369105,1.0,2.7546206770257906,6.050451933002735,363.0271159801641,9.737234313858622,2.7546206770257906,1.0,2025w17-Fri
2025-04-25 20:19:10+00:00,34.607041,-98.423135,341.3,128,80,34.607036,-98.423163,2.622205134399825,0.14259470445809086,1.0,2.622205134399825,6.35598633430893,381.3591800585358,10.228943047256733,2.622205134399825,1.0,2025w17-Fri
2025-04-25 20:19:11+00:00,34.607046,-98.423108,341.3,129,80,34.607041,-98.423135,2.532839182799122,0.14512754364088998,1.0,2.532839182799122,6.580244064915757,394.8146438949454,10.589849983431524,2.532839182799122,1.0,2025w17-Fri
2025-04-25 20:19:12+00:00,34.607049,-98.423082,341.3,127,80,34.607046,-98.423108,2.4028133014627477,0.1475303569423527,1.0,2.4028133014627477,6.936327508197953,416.1796504918772,11.162909312043293,2.4028133014627477,1.0,2025w17-Fri
2025-04-25 20:19:13+00:00,34.607052,-98.423059,341.3,127,80,34.607049,-98.423082,2.1312501314680383,0.14966160707382076,1.0,2.1312501314680383,7.820152010275638,469.2091206165383,12.585283436216995,2.1312501314680383,1.0,2025w17-Fri
2025-04-25 20:19:14+00:00,34.607051,-98.423035,341.4,126,80,34.607052,-98.423059,2.199315381316224,0.15186092245513697,1.0,2.199315381316224,7.578130968204061,454.68785809224363,12.195789292369524,2.199315381316224,1.0,2025w17-Fri
2025-04-25 20:19:15+00:00,34.607051,-98.423008,341.4,127,80,34.607051,-98.423035,2.471065474008489,0.15433198792914546,1.0,2.471065474008489,6.74474236935688,404.68454216141276,10.8545836847008,2.471065474008489,1.0,2025w17-Fri
2025-04-25 20:19:16+00:00,34.607049,-98.422979,341.4,126,79,34.607051,-98.423008,2.663408236443821,0.15699539616558927,1.0,2.663408236443821,6.257658804214465,375.4595282528679,10.070700619974508,2.663408236443821,1.0,2025w17-Fri
2025-04-25 20:19:17+00:00,34.607049,-98.422947,341.4,127,78,34.607049,-98.422979,2.9286702613559625,0.15992406642694523,1.0,2.9286702613559625,5.690876238243148,341.4525742945889,9.158554765254229,2.9286702613559625,1.0,2025w17-Fri
2025-04-25 20:19:18+00:00,34.60705,-98.422919,341.4,127,78,34.607049,-98.422947,2.564997802333628,0.1624890642292789,1.0,2.564997802333628,6.497744358625447,389.86466151752677,10.457079906110277,2.564997802333628,1.0,2025w17-Fri
2025-04-25 20:19:19+00:00,34.607052,-98.422892,341.4,126,78,34.60705,-98.422919,2.4810525900575957,0.1649701168193365,1.0,2.4810525900575957,6.71759239074134,403.0555434444804,10.810890138115669,2.4810525900575957,1.0,2025w17-Fri
2025-04-25 20:19:20+00:00,34.607053,-98.422872,341.4,126,79,34.607052,-98.422892,1.833793189746431,0.16680391000908293,1.0,1.833793189746431,9.088647560254381,545.3188536152629,14.626724064619786,1.833793189746431,1.0,2025w17-Fri
2025-04-25 20:19:21+00:00,34.607052,-98.422839,341.5,125,79,34.607053,-98.422872,3.0222373344935134,0.16982614734357646,1.0,3.0222373344935134,5.5146893362010285,330.8813601720617,8.875010136321762,3.0222373344935134,1.0,2025w17-Fri
2025-04-25 20:19:22+00:00,34.607051,-98.422812,341.5,125,78,34.607052,-98.422839,2.4735660187801325,0.17229971336235658,1.0,2.4735660187801325,6.737924063259639,404.2754437955783,10.843610711966267,2.4735660187801325,1.0,2025w17-Fri
2025-04-25 20:19:23+00:00,34.607049,-98.422786,341.5,126,78,34.607051,-98.422812,2.3899141585412274,0.1746896275208978,1.0,2.3899141585412274,6.973765120573677,418.4259072344206,11.223159159144041,2.3899141585412274,1.0,2025w17-Fri
